quanto eu tenho na minha conta,saldo
qual meu saldo,saldo
quanto eu tenho na poupança,saldo
quanto dinheiro eu tenho,saldo
meu saldo e positivo,saldo
estou no vermelho,saldo
estou no positivo,saldo
tem dinheiro na minha conta,saldo
conta corrente,saldo
eu ainda tenho dinheiro,saldo
sera que vai chover,clima
qual a previsao do tempo,clima
vai fazer sol,clima
qual a previsao do tempo pra amanha,clima
esta chovendo la fora,clima
esta fazendo frio,clima
vai esfriar,clima
a temperatura vai subir,clima
vai continuar chovendo,clima
devo levar um guarda chuva,clima
quais as noticias de hoje,noticias
o que aconteceu de novo,noticias
quais as manchetes do dia,noticias
me conte algo de novo,noticias
o que esta acontecendo no mundo,noticias
ha algo importante,noticias
me conte as novidades,noticias
quais as novidades,noticias
me informe,noticias
o que esta no jornal,noticias
tchau,despedida
até mais,despedida
adeus,despedida
obrigado,despedida
falou,despedida
valeu,despedida
sair,despedida
oi,saudacao
bom dia,saudacao
oi como vai,saudacao
tudo bem com você,saudacao
olá,saudacao
ei tudo bem,saudacao
bom dia tudo bem com você,saudacao
eae,saudacao
opa,saudacao
hey robô,saudacao
